mf_0,mf_1,mf_2,mf_3,mf_4,mf_5,mf_6,mf_7,mf_8,mf_9,mf_10,mf_11,mf_12,mf_13,mf_14,measure
12.288653,6.4716434,1.1595956,7.0406923,-0.017936187,4.7672634,4.5315194,5.1227593,4.3529825,5.8357387,3.5321145,4.4217844,4.70452,2.8144975,3.654732,BR
8.9914665,5.700388,1.3765092,-0.3202692,8.361579,0.3333526,4.411195,3.646606,4.4992146,6.2643642,3.4566267,5.2253532,2.8776987,3.0146155,0.8260937,MCR
11.720377,6.169924,1.6984292,6.657343,0.24173838,4.225441,4.636279,5.480975,4.3357286,6.5077686,4.1102047,4.1894164,4.5134225,3.0410075,3.8831394,BR
-1.4673139,8.924456,2.6772602,3.5750077,0.42753237,2.6826105,5.6330523,5.8359513,5.294571,6.4816146,4.832652,5.503286,3.009516,2.9273055,3.9825895,BR
0.32764545,1.230077,1.3295424,8.44349,2.3319378,5.8387823,6.391192,6.5915813,4.4023166,6.6004686,4.5165825,5.361249,3.6614969,2.79302,4.456283,MCR
-0.6390718,7.236822,8.021895,8.038752,1.4957262,6.827307,2.896677,5.6980143,3.2273889,6.612883,5.4986897,4.850037,5.620639,2.8411965,4.0432143,SYM
-1.7363052,9.087267,1.4942518,3.0520754,0.38291743,2.5400152,5.4364243,5.8486633,5.2680707,6.2064185,4.746372,5.539432,3.014964,2.8673859,3.9197848,MCR
0.1812051,1.450546,1.0323565,8.726483,2.4380271,5.962977,6.9407587,6.772191,4.338007,6.62704,4.5119486,5.3849525,3.6759024,2.74653,4.73849,MCR
-1.7145861,6.9458776,0.81330025,4.071132,0.9127042,4.5773644,4.639187,5.615458,5.9333577,6.515946,4.8865676,5.72533,3.628763,2.4311283,3.9669135,OS
0.7243193,1.0721723,1.7949802,7.605945,1.8251264,5.1405888,5.5097675,6.0207114,4.791358,6.383173,4.5920334,5.163482,3.7083166,2.8348017,3.8930595,MCR
-1.2051204,3.942779,-0.4519672,5.3787956,1.6100972,6.399441,4.167771,5.815703,5.589993,5.910792,4.973555,4.989736,4.6508813,2.422394,4.1557984,SYM
-0.35308662,3.5028632,0.5545786,5.6984196,1.5198947,5.7425413,4.390086,5.821337,5.384154,6.044864,4.8909836,5.1550217,4.346589,2.5933223,4.0761003,SYM
-1.5325115,4.900705,-0.93290555,4.657474,1.3796139,6.2221174,3.7185342,5.83563,5.7269635,5.907607,4.979393,5.226625,4.598078,2.47164,4.1141768,OS
-0.6356572,7.2587366,8.320548,8.118141,1.459116,7.0269957,2.8332684,5.6759677,3.222132,6.596096,5.468677,4.879041,5.6791744,2.8584027,4.046628,BR
